id,name,review_count,category_alias,rating,latitude,longitude,delivery,pickup,restaurant_reservation,price,city,zip_code,country,state,distance,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries
GlSWzWVmQsKLGxySYSGRbQ,Smithfield Hall,468,"pubs,tradamerican,sportsbars",4.0,40.7447532620452,-73.9934939850447,0,0,0,2,New York,10001,US,NY,816.4488615229151,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
YmUKLOG4sTAShvyURuq2zw,Trattoria Bianca,137,italian,3.0,40.752727,-73.99364399999999,1,1,0,2,New York,10001,US,NY,240.29907904064822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
n_NIY1KTi-R5DPkduEUKIw,Ovest Pizzoteca by Luzzo's,525,"pizza,italian,cocktailbars",4.0,40.7507476806641,-74.0030212402344,1,1,0,2,New York,10001,US,NY,585.5027506575343,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,2619,korean,4.0,40.74747,-73.98648,0,0,0,1,New York,10001,US,NY,946.9596630403979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
gXnC_aZR09BvqEQKGKFjBg,BCD Tofu House,2023,korean,4.0,40.747503631444005,-73.98624472083209,0,0,0,2,New York,10001,US,NY,964.2185407039208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
nSk_zCJESMKGLHyJTPPlZA,Bottino,285,italian,3.5,40.74845,-74.00321,1,1,0,2,New York,10001,US,NY,705.2702155838351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
eIPiRkf6KCo9A9Ok-Nr_ow,Miss KOREA BBQ,1690,"korean,bbq",3.5,40.747452,-73.986336,1,1,1,2,New York,10001,US,NY,960.4338036272676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
Ej-hrhc8HFWfijN4X5akOg,Dim Sum Palace,99,"dimsum,cantonese,seafood",4.0,40.7486,-73.98676,1,1,0,2,New York,10001,US,NY,870.044475436559,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
xZ96vaoL-cQjfotmUKtjJQ,Barn Joo 35,2000,"korean,gastropubs,tapasmallplates",4.5,40.74964,-73.98581999999999,1,1,1,2,New York,10001,US,NY,904.6989205949948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
fiNNzhD1BRLP8iA1r3m2Cg,Uncle Jack's Steakhouse - Westside,527,"steak,seafood,burgers",3.5,40.75367,-73.99549,1,1,0,4,New York,10001,US,NY,212.14817252773926,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
